dataset,order,os_hm_mean,os_hm_std,n_seeds
toniot,sorted,0.8002,0.0469,10
toniot,random,0.8031,0.0508,10
nbaiot,sorted,0.7701,0.0619,10
nbaiot,random,0.7218,0.0649,10
cicids2018,sorted,0.732,0.0718,10
cicids2018,random,0.7442,0.0587,10
5g_nidd,sorted,0.8205,0.1055,10
5g_nidd,random,0.8218,0.0656,10
nsl_kdd,sorted,0.6432,0.193,10
nsl_kdd,random,0.6171,0.2358,10
