dataset,label,gons_oshm,gons_std,gons_n,ewc_ncm_tuned_oshm,ewc_ncm_tuned_std,ewc_ncm_tuned_n,openmax_tuned_oshm,openmax_tuned_std,openmax_tuned_n,nc_fscil_tuned_oshm,nc_fscil_tuned_std,nc_fscil_tuned_n,msp_tuned_oshm,msp_tuned_std,msp_tuned_n,doc_tuned_oshm,doc_tuned_std,doc_tuned_n,bic_tuned_oshm,bic_tuned_std,bic_tuned_n,rfs_tuned_oshm,rfs_tuned_std,rfs_tuned_n
5g_nidd,5G-NIDD,0.8494,0.0403,10,0.3716,0.221,10,0.3479,0.2466,10,0.5558,0.2419,10,0.1666,0.1744,10,0.2154,0.1443,10,0.2809,0.0517,10,0.1695,0.1447,10
toniot,ToN-IoT,0.8025,0.0445,10,0.5957,0.1441,10,0.2755,0.1709,10,0.2339,0.1712,10,0.3564,0.0947,10,0.211,0.0829,10,0.1749,0.1084,10,0.031,0.0318,10
nbaiot,N-BaIoT,0.7704,0.0813,10,0.6715,0.0827,10,0.5599,0.1116,10,0.447,0.2495,10,0.2671,0.0791,10,0.2077,0.1272,10,0.1782,0.0774,10,0.236,0.1538,10
cicids2018,CICIDS2018,0.7102,0.1233,10,0.5003,0.1088,10,0.4005,0.2265,10,0.549,0.2445,10,0.3482,0.1577,10,0.1419,0.0674,10,0.1502,0.0312,10,0.0165,0.0255,10
edge_iiotset,Edge-IIoTset,0.617,0.0583,10,0.4341,0.0646,10,0.3053,0.1209,10,0.1361,0.098,10,0.4274,0.07,10,0.104,0.0506,10,0.1225,0.0598,10,0.03,0.0376,10
ciciot2023_cat,CICIoT2023 (7-category),0.6072,0.0767,10,0.4741,0.0794,10,0.3065,0.1207,10,0.3106,0.2022,10,0.27,0.1579,10,0.1083,0.0397,10,0.1576,0.0685,10,0.0766,0.0448,10
nsl_kdd,NSL-KDD,0.6005,0.2376,10,0.5416,0.1837,10,0.4163,0.1427,10,0.0424,0.0813,10,0.47,0.1385,10,0.3322,0.1349,10,0.1044,0.0741,10,0.0594,0.0595,10
