Dataset,Seed,Method,OS-HM
CICIoT2023 (7-category),49,EWC-NCM,0.4494
CICIoT2023 (7-category),50,EWC-NCM,0.5192
CICIoT2023 (7-category),51,EWC-NCM,0.3897
NSL-KDD,42,EWC-NCM,0.7453
NSL-KDD,43,EWC-NCM,0.4925
NSL-KDD,44,EWC-NCM,0.5837
NSL-KDD,45,EWC-NCM,0.3646
NSL-KDD,46,EWC-NCM,0.4434
NSL-KDD,47,EWC-NCM,0.1949
NSL-KDD,48,EWC-NCM,0.6598
NSL-KDD,49,EWC-NCM,0.4843
NSL-KDD,50,EWC-NCM,0.6427
NSL-KDD,51,EWC-NCM,0.8048
5G-NIDD,42,OpenMax,0.168
5G-NIDD,43,OpenMax,0.0242
5G-NIDD,44,OpenMax,0.6456
5G-NIDD,45,OpenMax,0.6532
5G-NIDD,46,OpenMax,0.0182
5G-NIDD,47,OpenMax,0.5516
5G-NIDD,48,OpenMax,0.4798
5G-NIDD,49,OpenMax,0.1408
5G-NIDD,50,OpenMax,0.479
5G-NIDD,51,OpenMax,0.3187
ToN-IoT,42,OpenMax,0.3883
ToN-IoT,43,OpenMax,0.4147
ToN-IoT,44,OpenMax,0.206
ToN-IoT,45,OpenMax,0.3698
ToN-IoT,46,OpenMax,0.1702
ToN-IoT,47,OpenMax,0.4006
ToN-IoT,48,OpenMax,0.0521
ToN-IoT,49,OpenMax,0.1419
ToN-IoT,50,OpenMax,0.0601
ToN-IoT,51,OpenMax,0.5514
N-BaIoT,42,OpenMax,0.4664
N-BaIoT,43,OpenMax,0.588
N-BaIoT,44,OpenMax,0.7127
N-BaIoT,45,OpenMax,0.4847
N-BaIoT,46,OpenMax,0.6007
N-BaIoT,47,OpenMax,0.5152
N-BaIoT,48,OpenMax,0.483
N-BaIoT,49,OpenMax,0.3912
N-BaIoT,50,OpenMax,0.6188
N-BaIoT,51,OpenMax,0.7387
CICIDS2018,42,OpenMax,0.0157
CICIDS2018,43,OpenMax,0.1862
CICIDS2018,44,OpenMax,0.6594
CICIDS2018,45,OpenMax,0.5683
CICIDS2018,46,OpenMax,0.2556
CICIDS2018,47,OpenMax,0.5838
CICIDS2018,48,OpenMax,0.3527
CICIDS2018,49,OpenMax,0.6307
CICIDS2018,50,OpenMax,0.5519
CICIDS2018,51,OpenMax,0.2009
Edge-IIoTset,42,OpenMax,0.3219
Edge-IIoTset,43,OpenMax,0.3118
Edge-IIoTset,44,OpenMax,0.4881
Edge-IIoTset,45,OpenMax,0.2149
Edge-IIoTset,46,OpenMax,0.1285
Edge-IIoTset,47,OpenMax,0.172
Edge-IIoTset,48,OpenMax,0.4115
Edge-IIoTset,49,OpenMax,0.3862
Edge-IIoTset,50,OpenMax,0.2021
Edge-IIoTset,51,OpenMax,0.4159
CICIoT2023 (7-category),42,OpenMax,0.1356
CICIoT2023 (7-category),43,OpenMax,0.4169
CICIoT2023 (7-category),44,OpenMax,0.3641
CICIoT2023 (7-category),45,OpenMax,0.3357
CICIoT2023 (7-category),46,OpenMax,0.1397
CICIoT2023 (7-category),47,OpenMax,0.4428
CICIoT2023 (7-category),48,OpenMax,0.2777
CICIoT2023 (7-category),49,OpenMax,0.4432
CICIoT2023 (7-category),50,OpenMax,0.3393
CICIoT2023 (7-category),51,OpenMax,0.1701
NSL-KDD,42,OpenMax,0.3831
NSL-KDD,43,OpenMax,0.2029
NSL-KDD,44,OpenMax,0.4826
NSL-KDD,45,OpenMax,0.3518
NSL-KDD,46,OpenMax,0.3852
NSL-KDD,47,OpenMax,0.2443
NSL-KDD,48,OpenMax,0.6411
NSL-KDD,49,OpenMax,0.6117
NSL-KDD,50,OpenMax,0.365
NSL-KDD,51,OpenMax,0.4956
5G-NIDD,42,MSP,0.0288
5G-NIDD,43,MSP,0.0254
5G-NIDD,44,MSP,0.0295
5G-NIDD,45,MSP,0.2339
5G-NIDD,46,MSP,0.0328
5G-NIDD,47,MSP,0.4365
5G-NIDD,48,MSP,0.4044
5G-NIDD,49,MSP,0.0581
5G-NIDD,50,MSP,0.0517
5G-NIDD,51,MSP,0.3644
ToN-IoT,42,MSP,0.4033
ToN-IoT,43,MSP,0.2527
ToN-IoT,44,MSP,0.4648
ToN-IoT,45,MSP,0.3241
ToN-IoT,46,MSP,0.2122
ToN-IoT,47,MSP,0.4325
ToN-IoT,48,MSP,0.4679
ToN-IoT,49,MSP,0.2534
ToN-IoT,50,MSP,0.4244
ToN-IoT,51,MSP,0.3283
N-BaIoT,42,MSP,0.3366
N-BaIoT,43,MSP,0.2204
N-BaIoT,44,MSP,0.2949
N-BaIoT,45,MSP,0.2657
N-BaIoT,46,MSP,0.231
N-BaIoT,47,MSP,0.2978
N-BaIoT,48,MSP,0.4061
N-BaIoT,49,MSP,0.2286
N-BaIoT,50,MSP,0.108
N-BaIoT,51,MSP,0.2818
CICIDS2018,42,MSP,0.1934
CICIDS2018,43,MSP,0.098
CICIDS2018,44,MSP,0.45
CICIDS2018,45,MSP,0.3072
CICIDS2018,46,MSP,0.4186
CICIDS2018,47,MSP,0.4499
CICIDS2018,48,MSP,0.3511
CICIDS2018,49,MSP,0.4288
CICIDS2018,50,MSP,0.6154
CICIDS2018,51,MSP,0.1693
Edge-IIoTset,42,MSP,0.3278
Edge-IIoTset,43,MSP,0.4292
Edge-IIoTset,44,MSP,0.4044
Edge-IIoTset,45,MSP,0.4307
Edge-IIoTset,46,MSP,0.4307
Edge-IIoTset,47,MSP,0.3237
Edge-IIoTset,48,MSP,0.4306
Edge-IIoTset,49,MSP,0.4721
Edge-IIoTset,50,MSP,0.4555
Edge-IIoTset,51,MSP,0.5693
