dataset,ours_fixed,ewc_ncm_tuned,delta,paired_t_p,wilcoxon_p,n_seeds
ToN-IoT,0.8002,0.5957,0.2045,0.0018,0.0039,10
N-BaIoT,0.7702,0.6715,0.0986,0.0081,0.0098,10
CICIDS2018,0.732,0.5003,0.2317,0.0004,0.002,10
5G-NIDD,0.8205,0.3716,0.449,0.0003,0.002,10
NSL-KDD,0.6432,0.5416,0.1016,0.3183,0.375,10
