dataset,config,seed,os_hm,ccr,tur,f1_unknown,macro_f1_with_unknown
CICIDS2018,tuned,43,0.7116,0.6998,0.7683,0.5974,0.702
CICIDS2018,tuned,44,0.8115,0.7652,0.8771,0.7139,0.6865
CICIDS2018,tuned,45,0.8144,0.8005,0.8371,0.6407,0.7827
CICIDS2018,tuned,46,0.6002,0.7425,0.5284,0.4512,0.6588
CICIDS2018,tuned,47,0.7434,0.7755,0.7262,0.5632,0.7334
CICIDS2018,tuned,48,0.7734,0.7866,0.7702,0.5943,0.757
CICIDS2018,tuned,49,0.7624,0.7725,0.7663,0.6553,0.6829
CICIDS2018,tuned,50,0.756,0.6766,0.881,0.6984,0.6172
CICIDS2018,tuned,51,0.6254,0.6606,0.6345,0.5841,0.5729
5G-NIDD,tuned,42,0.8547,0.8112,0.9145,0.8284,0.8034
5G-NIDD,tuned,43,0.8235,0.8452,0.8498,0.7266,0.8253
5G-NIDD,tuned,44,0.9056,0.8302,0.9961,0.8519,0.8688
5G-NIDD,tuned,45,0.8045,0.8356,0.7975,0.754,0.8078
5G-NIDD,tuned,46,0.8236,0.8444,0.8552,0.7314,0.8366
5G-NIDD,tuned,47,0.8841,0.8096,0.9751,0.8161,0.8537
5G-NIDD,tuned,48,0.7835,0.8698,0.7339,0.6844,0.8355
5G-NIDD,tuned,49,0.9085,0.8598,0.9653,0.8505,0.8965
5G-NIDD,tuned,50,0.541,0.7004,0.5355,0.4899,0.615
5G-NIDD,tuned,51,0.8734,0.8036,0.959,0.7956,0.8668
NSL-KDD,tuned,42,0.3803,0.3163,0.9476,0.4393,0.4539
NSL-KDD,tuned,43,0.7774,0.8919,0.6998,0.4044,0.6653
NSL-KDD,tuned,44,0.5078,0.4236,0.979,0.5985,0.5501
NSL-KDD,tuned,45,0.7487,0.8993,0.6642,0.4084,0.6572
NSL-KDD,tuned,46,0.3287,0.239,0.9998,0.4881,0.4053
NSL-KDD,tuned,47,0.7417,0.9199,0.6517,0.4548,0.7352
NSL-KDD,tuned,48,0.6803,0.7069,0.8698,0.4898,0.5823
NSL-KDD,tuned,49,0.8227,0.7576,0.9427,0.631,0.6888
NSL-KDD,tuned,50,0.8904,0.91,0.88,0.5029,0.6564
NSL-KDD,tuned,51,0.5346,0.4591,0.9838,0.6993,0.5998
